circuito_id,mesa_id,agrupacion_nombre,cargo_nombre,votos_cantidad_generales,votos_cantidad_paso,diferencia_absoluta,z_score_diferencia
00060,6,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,81,0,81,3.8393509291640724
00060,6,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,79,0,79,3.7231666248570447
00060,6,UNION POR LA PATRIA,DIPUTADO NACIONAL,80,0,80,3.781258777010559
00060,6,UNION POR LA PATRIA,SENADOR NACIONAL,82,0,82,3.897443081317586
00060,49,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,53,120,67,3.0260607990148807
00060,101,LA LIBERTAD AVANZA,DIPUTADO NACIONAL,79,1,78,3.665074472703531
00060,101,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,90,1,89,4.304088146392182
00060,101,LA LIBERTAD AVANZA,SENADOR NACIONAL,80,1,79,3.7231666248570447
00060,115,LA LIBERTAD AVANZA,DIPUTADO NACIONAL,87,0,87,4.187903842085155
00060,115,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,101,0,101,5.001193972234346
00060,115,LA LIBERTAD AVANZA,SENADOR NACIONAL,87,0,87,4.187903842085155
00060,115,UNION POR LA PATRIA,DIPUTADO NACIONAL,73,0,73,3.3746137119359627
00060,115,UNION POR LA PATRIA,PRESIDENTE Y VICE,78,0,78,3.665074472703531
00060,115,UNION POR LA PATRIA,SENADOR NACIONAL,73,0,73,3.3746137119359627
00062,152,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,71,71,3.2584294076289355
00062,152,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,78,78,3.665074472703531
00062,152,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,69,69,3.142245103321908
00062,152,LA LIBERTAD AVANZA,DIPUTADO NACIONAL,0,83,83,3.9555352334710996
00062,152,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,0,83,83,3.9555352334710996
00062,152,LA LIBERTAD AVANZA,SENADOR NACIONAL,0,83,83,3.9555352334710996
00067,169,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,114,114,5.756391950230024
00067,169,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,105,105,5.233562580848401
00067,169,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,114,114,5.756391950230024
00067,170,HACEMOS POR NUESTRO PAIS,PRESIDENTE Y VICE,80,6,74,3.4327058640894763
00105,10,UNION POR LA PATRIA,DIPUTADO NACIONAL,120,50,70,3.2003372554754215
00105,10,UNION POR LA PATRIA,SENADOR NACIONAL,120,51,69,3.142245103321908
00105,35,LA LIBERTAD AVANZA,DIPUTADO NACIONAL,67,0,67,3.0260607990148807
00105,35,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,77,0,77,3.6069823205500176
00105,35,LA LIBERTAD AVANZA,SENADOR NACIONAL,68,0,68,3.0841529511683943
00105,35,UNION POR LA PATRIA,DIPUTADO NACIONAL,109,0,109,5.465931189462456
00105,35,UNION POR LA PATRIA,PRESIDENTE Y VICE,117,0,117,5.9306684066905655
00105,35,UNION POR LA PATRIA,SENADOR NACIONAL,111,0,111,5.582115493769483
00105,37,UNION POR LA PATRIA,DIPUTADO NACIONAL,0,105,105,5.233562580848401
00105,37,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,101,101,5.001193972234346
00105,37,UNION POR LA PATRIA,SENADOR NACIONAL,0,106,106,5.291654733001915
00105,51,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,67,67,3.0260607990148807
00105,51,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,70,70,3.2003372554754215
