año,eleccion_tipo,eleccion_id,recuento_tipo,recuento_id,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,circuito_nombre,mesa_id,mesa_tipo,mesa_electores,cargo_id,cargo_nombre,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre,votos_tipo,votos_cantidad,asistencia_mesa,porcentaje,resultado_circuito,diff,z_score_diff
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,440,NATIVOS,349,1,PRESIDENTE Y VICE,134,UNION POR LA PATRIA,,,POSITIVO,175,272,50.1432664756447,5.317572251571725,44.825694224072976,3.313469336441258
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,441,NATIVOS,352,1,PRESIDENTE Y VICE,134,UNION POR LA PATRIA,,,POSITIVO,179,284,50.85227272727273,5.317572251571725,45.534700475701,3.389877701443046
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,87,Pergamino,00757,00757,270,NATIVOS,13,1,PRESIDENTE Y VICE,135,LA LIBERTAD AVANZA,,,POSITIVO,8,10,61.53846153846154,10.0,51.53846153846154,4.036892541740394
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,103,San Antonio de Areco,00866,00866,52,NATIVOS,67,1,PRESIDENTE Y VICE,132,JUNTOS POR EL CAMBIO,,,POSITIVO,36,59,53.73134328358209,4.091493999317209,49.63984928426488,3.8322824162550204
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,440,NATIVOS,349,2,SENADOR NACIONAL,20134,UNION POR LA PATRIA,,,POSITIVO,188,272,53.86819484240688,5.034303062175794,48.833891780231085,3.7454257841692815
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,441,NATIVOS,352,2,SENADOR NACIONAL,20134,UNION POR LA PATRIA,,,POSITIVO,177,284,50.28409090909091,5.034303062175794,45.24978784691511,3.359173165222239
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,87,Pergamino,00757,00757,270,NATIVOS,13,2,SENADOR NACIONAL,20135,LA LIBERTAD AVANZA,,,POSITIVO,8,10,61.53846153846154,10.0,51.53846153846154,4.036892541740394
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,103,San Antonio de Areco,00866,00866,52,NATIVOS,67,2,SENADOR NACIONAL,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,35,55,52.23880597014925,4.264817878620762,47.97398809152849,3.6527554660135495
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,112,Tapalqué,00947,00947,27,NATIVOS,137,2,SENADOR NACIONAL,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,71,120,51.82481751824818,7.473684210526316,44.35113330772187,3.2623267356124543
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,440,NATIVOS,349,3,DIPUTADO NACIONAL,20134,UNION POR LA PATRIA,,,POSITIVO,188,272,53.86819484240688,4.999641431405828,48.86855341100105,3.7491612075584926
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,441,NATIVOS,352,3,DIPUTADO NACIONAL,20134,UNION POR LA PATRIA,,,POSITIVO,177,284,50.28409090909091,4.999641431405828,45.28444947768508,3.362908588611451
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,87,Pergamino,00757,00757,270,NATIVOS,13,3,DIPUTADO NACIONAL,20135,LA LIBERTAD AVANZA,,,POSITIVO,8,10,61.53846153846154,10.0,51.53846153846154,4.036892541740394
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,103,San Antonio de Areco,00866,00866,52,NATIVOS,67,3,DIPUTADO NACIONAL,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,35,55,52.23880597014925,4.319091012544097,47.91971495760515,3.6469065451936236
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,112,Tapalqué,00947,00947,27,NATIVOS,137,3,DIPUTADO NACIONAL,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,71,120,51.82481751824818,7.473684210526316,44.35113330772187,3.2623267356124543
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,440,NATIVOS,349,4,GOBERNADOR Y VICE,20134,UNION POR LA PATRIA,,,POSITIVO,189,272,54.15472779369628,5.843472856357422,48.31125493733886,3.689102124732718
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,441,NATIVOS,352,4,GOBERNADOR Y VICE,20134,UNION POR LA PATRIA,,,POSITIVO,175,284,49.715909090909086,5.843472856357422,43.872436234551664,3.2107383883897196
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,87,Pergamino,00757,00757,270,NATIVOS,13,4,GOBERNADOR Y VICE,20135,LA LIBERTAD AVANZA,,,POSITIVO,8,10,61.53846153846154,10.0,51.53846153846154,4.036892541740394
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,103,San Antonio de Areco,00866,00866,52,NATIVOS,67,4,GOBERNADOR Y VICE,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,35,55,52.23880597014925,4.401376086556895,47.83742988359236,3.638038826531154
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,112,Tapalqué,00947,00947,27,NATIVOS,137,4,GOBERNADOR Y VICE,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,72,120,52.55474452554745,7.578947368421053,44.975797157126394,3.329645667284955
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,440,NATIVOS,349,5,SENADOR PROVINCIAL,20134,UNION POR LA PATRIA,,,POSITIVO,179,272,51.28939828080229,5.572155953433891,45.717242327368396,3.4095499178703026
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,441,NATIVOS,352,5,SENADOR PROVINCIAL,20134,UNION POR LA PATRIA,,,POSITIVO,175,284,49.715909090909086,5.572155953433891,44.143753137475194,3.2399777369880334
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,87,Pergamino,00757,00757,270,NATIVOS,13,5,SENADOR PROVINCIAL,20135,LA LIBERTAD AVANZA,,,POSITIVO,8,10,61.53846153846154,10.0,51.53846153846154,4.036892541740394
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,103,San Antonio de Areco,00866,00866,52,NATIVOS,67,5,SENADOR PROVINCIAL,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,35,55,52.23880597014925,4.4714059367805525,47.7674000333687,3.6304918319247985
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,112,Tapalqué,00947,00947,27,NATIVOS,137,6,DIPUTADO PROVINCIAL,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,72,120,52.55474452554745,7.578947368421053,44.975797157126394,3.329645667284955
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,9,Baradero,00107,00107,73,NATIVOS,354,7,INTENDENTE,20134,UNION POR LA PATRIA,,,POSITIVO,178,329,50.282485875706215,6.812998015344056,43.46948786036216,3.1673133461122336
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,9,Baradero,00110,00110,87,NATIVOS,349,7,INTENDENTE,20134,UNION POR LA PATRIA,,,POSITIVO,184,304,52.72206303724928,7.627383557361675,45.0946794798876,3.3424574075043694
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,21,Carmen de Areco,00175,00175,30,NATIVOS,348,7,INTENDENTE,20134,UNION POR LA PATRIA,,,POSITIVO,176,297,50.57471264367817,6.582809224318659,43.99190341935951,3.2236131581700613
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,37,Exaltación de la Cruz,00292,00292,7,NATIVOS,351,7,INTENDENTE,20134,UNION POR LA PATRIA,,,POSITIVO,180,333,51.28205128205128,5.664914525303285,45.617136756747996,3.3987617154234098
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,440,NATIVOS,349,7,INTENDENTE,20134,UNION POR LA PATRIA,,,POSITIVO,170,272,48.71060171919771,5.382114598522698,43.328487120675014,3.1521179427447756
