Country,Type,Type
Algeria,Unprovoked,1
American Samoa,Unprovoked,3
Angola,Unprovoked,1
Antigua and Barbuda,Invalid,1
Antigua and Barbuda,Sea Disaster,1
Arabian Sea,Unprovoked,1
Argentina,Invalid,1
Argentina,Unprovoked,1
Aruba,Unprovoked,1
Atlantic Ocean,Sea Disaster,16
Atlantic Ocean,Unprovoked,12
Atlantic Ocean,Watercraft,5
Atlantic Ocean,Invalid,3
Atlantic Ocean,Provoked,3
Australia,Unprovoked,1048
Australia,Provoked,144
Australia,Watercraft,129
Australia,Invalid,127
Australia,Sea Disaster,25
Bahrain,Unprovoked,1
Bangladesh,Sea Disaster,1
Barbados,Unprovoked,5
Barbados,Sea Disaster,1
Belize,Unprovoked,4
Belize,Provoked,2
Belize,Invalid,1
Brazil,Unprovoked,101
Brazil,Invalid,10
Brazil,Provoked,6
Brazil,Sea Disaster,5
British Overseas Territories,Unprovoked,20
British Overseas Territories,Invalid,6
British Overseas Territories,Sea Disaster,4
British Overseas Territories,Provoked,2
British Overseas Territories,Watercraft,1
Canada,Unprovoked,5
Canada,Watercraft,3
Canada,Provoked,2
Canada,Sea Disaster,2
Canada,Invalid,1
Cape Verde,Invalid,2
Cape Verde,Unprovoked,1
Caribbean Sea,Sea Disaster,3
Caribbean Sea,Unprovoked,2
Caribbean Sea,Watercraft,2
Caribbean Sea,Invalid,1
Chile,Unprovoked,7
Chile,Provoked,1
Colombia,Unprovoked,10
Colombia,Invalid,1
Colombia,Sea Disaster,1
Comoros,Invalid,1
Cook Islands,Sea Disaster,1
Costa Rica,Unprovoked,16
Costa Rica,Invalid,2
Croatia,Unprovoked,22
Croatia,Invalid,8
Croatia,Provoked,3
Croatia,Watercraft,3
Cuba,Unprovoked,31
Cuba,Sea Disaster,7
Cuba,Provoked,4
Cuba,Invalid,3
Cuba,Watercraft,1
Curacao,Unprovoked,1
Curaçao,Unprovoked,1
Cyprus,Unprovoked,1
Djibouti,Unprovoked,1
Dominican Republic,Unprovoked,4
Dominican Republic,Sea Disaster,3
Dominican Republic,Provoked,1
Ecuador,Unprovoked,11
Egypt,Unprovoked,45
Egypt,Invalid,4
Egypt,Sea Disaster,2
El Salvador,Unprovoked,2
El Salvador,Provoked,1
El Salvador,Watercraft,1
Equatorial Guinea,Unprovoked,1
Federated States of Micronesia,Unprovoked,4
Fiji,Unprovoked,61
Fiji,Provoked,3
Fiji,Sea Disaster,3
Fiji,Invalid,2
Fiji,Watercraft,1
France,Unprovoked,7
France,Provoked,3
France,Invalid,2
France,Watercraft,1
French Overseas Territories,Unprovoked,123
French Overseas Territories,Sea Disaster,4
French Overseas Territories,Watercraft,4
French Overseas Territories,Invalid,3
French Overseas Territories,Provoked,1
French Polynesia,Unprovoked,30
French Polynesia,Provoked,6
French Polynesia,Invalid,1
Gabon,Unprovoked,1
Georgia,Provoked,1
Ghana,Unprovoked,1
Greece,Unprovoked,18
Greece,Invalid,6
Greece,Sea Disaster,2
Greenland,Watercraft,1
Grenada,Unprovoked,4
Guam,Unprovoked,2
Guam,Invalid,1
Guam,Provoked,1
Guatemala,Invalid,1
Guinea,Unprovoked,2
Guinea,Invalid,1
Guyana,Invalid,1
Guyana,Sea Disaster,1
Guyana,Unprovoked,1
Haiti,Unprovoked,2
Haiti,Invalid,1
Honduras,Unprovoked,3
Honduras,Invalid,1
Honduras,Sea Disaster,1
Hong Kong,Unprovoked,23
Hong Kong,Sea Disaster,1
Iceland,Invalid,1
Iceland,Unprovoked,1
India,Unprovoked,40
India,Sea Disaster,2
India,Invalid,1
India,Provoked,1
India,Watercraft,1
Indian Ocean,Sea Disaster,3
Indian Ocean,Unprovoked,3
Indian Ocean,Invalid,2
Indonesia,Unprovoked,18
Indonesia,Sea Disaster,6
Indonesia,Invalid,1
Iran,Unprovoked,29
Iran,Provoked,1
Iraq,Unprovoked,12
Islas Malvinas,Unprovoked,1
Israel,Unprovoked,5
Israel,Invalid,1
Israel,Provoked,1
Israel,Watercraft,1
Italy,Unprovoked,27
Italy,Watercraft,16
Italy,Provoked,13
Italy,Invalid,12
Italy,Sea Disaster,4
Jamaica,Unprovoked,24
Jamaica,Invalid,3
Jamaica,Provoked,2
Jamaica,Sea Disaster,1
Japan,Unprovoked,30
Japan,Invalid,5
Japan,Sea Disaster,3
Japan,Provoked,2
Japan,Watercraft,2
Jordan,Unprovoked,1
Kenya,Unprovoked,10
Kingdom of Africa,Unprovoked,1
Kiribati,Unprovoked,4
Kiribati,Sea Disaster,2
Kuwait,Unprovoked,1
Lebanon,Unprovoked,3
Liberia,Unprovoked,2
Liberia,Invalid,1
Libya,Unprovoked,5
Libya,Sea Disaster,1
Madagascar,Unprovoked,6
Madagascar,Invalid,1
Madagascar,Provoked,1
Magadascar,Sea Disaster,1
Malaysia,Unprovoked,3
Malaysia,Invalid,1
Malaysia,Provoked,1
Maldives,Unprovoked,3
Maldives,Provoked,1
Maldives,Sea Disaster,1
Malta,Unprovoked,3
Malta,Watercraft,2
Marshall Islands,Unprovoked,11
Marshall Islands,Invalid,2
Mauritius,Unprovoked,7
Mauritius,Provoked,2
Mauritius,Sea Disaster,1
